Disaster Subgroup,Disaster Type,Disaster Subtype,Country,Start Year,Start Month,Start Day,End Year,End Month,End Day,"Total Damage, Adjusted ('000 US$)",Total Deaths,Total Affected
Hydrological,Flood,Flood (General),Thailand,2022,8,14.0,2022,8.0,16.0,,,63100.0
Meteorological,Storm,Storm surge,Cambodia,2022,9,28.0,2022,9.0,29.0,,16.0,
Meteorological,Storm,Tropical cyclone,Philippines,2000,7,5.0,2000,7.0,5.0,13662.0,11.0,120000.0
Hydrological,Landslide,Sudden Subsidence (wet),Philippines,2000,7,10.0,2000,7.0,10.0,,287.0,2838.0
Hydrological,Flood,Coastal flood,Philippines,2000,9,4.0,2000,9.0,5.0,,5.0,6508.0
Hydrological,Landslide,Landslide (wet),Vietnam,2000,10,3.0,2000,10.0,3.0,,40.0,17.0
Hydrological,Flood,Flood (General),Thailand,2023,12,22.0,2023,12.0,25.0,,6.0,241473.0
Hydrological,Flood,Flood (General),Philippines,2022,12,25.0,2022,12.0,29.0,11791.0,70.0,600016.0
Hydrological,Flood,Flood (General),Indonesia,2022,12,25.0,2022,12.0,26.0,,1.0,3210.0
Hydrological,Flood,Flood (General),Malaysia,2023,12,22.0,2023,12.0,25.0,,2.0,25676.0
Meteorological,Storm,Tropical cyclone,Philippines,2020,10,31.0,2020,11.0,1.0,610011.0,31.0,3356394.0
Hydrological,Flood,Flood (General),Indonesia,2022,12,26.0,2023,1.0,1.0,,,196745.0
Hydrological,Landslide,Landslide (wet),Indonesia,2001,1,22.0,2001,1.0,22.0,,63.0,
Geophysical,Volcanic activity,Lava flow,Indonesia,2020,12,1.0,2020,12.0,1.0,,,550.0
Hydrological,Flood,Flood (General),Indonesia,2024,12,3.0,2024,12.0,10.0,,12.0,10160.0
Hydrological,Flood,Flood (General),Indonesia,2022,11,7.0,2022,11.0,14.0,,3.0,7000.0
Geophysical,Volcanic activity,Ash fall,Indonesia,2022,12,4.0,2022,12.0,5.0,,,2489.0
Hydrological,Landslide,Landslide (wet),Malaysia,2022,12,16.0,2022,12.0,16.0,,33.0,94.0
Hydrological,Flood,Flood (General),Malaysia,2001,10,30.0,2001,10.0,30.0,,,200.0
Hydrological,Flood,Flood (General),Indonesia,2022,11,25.0,2022,11.0,27.0,,1.0,12500.0
Geophysical,Earthquake,Tsunami,Indonesia,2011,3,11.0,2011,3.0,11.0,,1.0,95.0
Hydrological,Flood,Riverine flood,Myanmar,2001,6,2.0,2001,6.0,2.0,,51.0,3750.0
Geophysical,Earthquake,Ground movement,Indonesia,2018,7,29.0,2018,7.0,29.0,36228.0,14.0,102852.0
Geophysical,Earthquake,Ground movement,Indonesia,2018,8,19.0,2018,8.0,19.0,6246.0,10.0,779.0
Geophysical,Earthquake,Ground movement,Philippines,2019,4,22.0,2019,4.0,22.0,61349.0,25.0,15555.0
Geophysical,Earthquake,Tsunami,Myanmar,2004,12,26.0,2004,12.0,26.0,830377.0,71.0,15700.0
Geophysical,Earthquake,Ground movement,Myanmar,2016,8,24.0,2016,8.0,24.0,13070.0,4.0,1152.0
Geophysical,Earthquake,Ground movement,Indonesia,2018,8,5.0,2018,8.0,5.0,986888.0,564.0,516927.0
Geophysical,Earthquake,Ground movement,Indonesia,2019,7,14.0,2019,7.0,14.0,,8.0,11804.0
Geophysical,Earthquake,Ground movement,Indonesia,2019,9,26.0,2019,9.0,26.0,,31.0,247418.0
Geophysical,Earthquake,Ground movement,Philippines,2019,10,16.0,2019,10.0,16.0,,7.0,3283.0
Geophysical,Earthquake,Ground movement,Philippines,2019,12,15.0,2019,12.0,15.0,,14.0,394565.0
